borough,address,zonedist1,zonedist2,bldgclass,landuse,numfloors,unitsres,unitstotal,assesstot,yearbuilt,builtfar,residfar,commfar,BBL,latitude,longitude
QN,15-15 COOPER AVENUE,M1-4,,G7,10.0,,0,0,70200.0,0.0,0.0,0.0,2.0,4035420088,40.6929615,-73.9026144
QN,15-11 COOPER AVENUE,M1-4,,C3,2.0,2.0,4,4,345600.0,1931.0,1.19,0.0,2.0,4035420091,40.6928518,-73.9027228
QN,10-69 WYCKOFF AVENUE,M1-4D,,S9,4.0,3.0,4,6,582300.0,1931.0,1.82,1.5,2.0,4035540001,40.6949238,-73.9024493
QN,10-59 WYCKOFF AVENUE,M1-4D,,S5,4.0,3.0,6,7,693900.0,1931.0,1.46,1.5,2.0,4035540005,40.695075,-73.9027015
QN,10-51 WYCKOFF AVENUE,M1-4D,,F1,6.0,1.0,0,1,284850.0,1970.0,0.99,1.5,2.0,4035540010,40.6952014,-73.9029105
QN,1612 NORMAN STREET,M1-4D,,C0,2.0,2.0,3,3,89340.0,1930.0,0.99,1.5,2.0,4035540013,40.6952891,-73.9027264
QN,1615 SUMMERFIELD STREET,M1-4D,,B2,1.0,2.0,2,2,67200.0,1930.0,0.36,1.5,2.0,4035540096,40.6951461,-73.9024021
QN,10-71 WYCKOFF AVENUE,M1-4D,,Z9,,,0,0,141750.0,0.0,0.0,1.5,2.0,4035550008,40.6947205,-73.9021575
QN,1614 SUMMERFIELD STREET,M1-4D,,HR,5.0,2.0,0,1,3185550.0,2020.0,1.1,1.5,2.0,4035550012,40.6948519,-73.9018075
QN,1612 DECATUR STREET,M1-4D,,E9,6.0,2.0,0,1,133650.0,1931.0,1.44,1.5,2.0,4035560012,40.6944206,-73.9013429
QN,1611 DECATUR STREET,M1-4D,,F5,6.0,1.0,0,1,1054350.0,1965.0,1.0,1.5,2.0,4035560014,40.6944341,-73.9010941
QN,16-23 CODY AVENUE,M1-4D,,F5,6.0,1.0,0,1,98100.0,1953.0,0.68,1.5,2.0,4035560089,40.6945053,-73.9008488
QN,10-60 WYCKOFF AVENUE,M1-4,,E7,6.0,1.0,0,1,3224250.0,1948.0,1.36,0.0,2.0,4035400042,40.6945733,-73.903373
QN,15-63 DECATUR STREET,M1-4,,K4,4.0,4.0,0,1,833850.0,1931.0,2.38,0.0,2.0,4035410046,40.6941497,-73.902317
QN,15-31 DECATUR STREET,M1-4,,K4,4.0,2.0,0,2,261900.0,1931.0,2.0,0.0,2.0,4035410055,40.6937138,-73.9029415
QN,1538 DECATUR STREET,M1-4,,E9,6.0,2.0,0,3,288000.0,1931.0,1.35,0.0,2.0,4035420026,40.6934801,-73.9025343
QN,1544 DECATUR STREET,M1-4D,M1-4,F5,6.0,1.0,0,1,375300.0,1989.0,0.55,1.5,2.0,4035420035,40.6939737,-73.9019314
QN,1622 SUMMERFIELD STREET,M1-4D,,C3,2.0,2.0,4,4,288000.0,1931.0,1.28,1.5,2.0,4035550020,40.6951264,-73.9017638
QN,11-15 WYCKOFF AVENUE,M1-4D,,B2,1.0,2.0,2,2,69660.0,1910.0,0.97,1.5,2.0,4035560001,40.6940773,-73.9011198
QN,56-06 COOPER AVENUE,M1-4,,F9,6.0,1.0,0,0,1795500.0,1956.0,0.57,0.0,2.0,4037250030,40.6926284,-73.9015006
QN,15-21 COOPER AVENUE,M1-4,,C3,2.0,2.0,4,4,326250.0,1931.0,1.2,0.0,2.0,4035420085,40.6930904,-73.902506
QN,1634 SUMMERFIELD STREET,M1-4D,,B2,1.0,2.0,2,2,55560.0,1910.0,0.62,1.5,2.0,4035550026,40.6953458,-73.9015471
QN,1645 DECATUR STREET,M1-4D,,F5,6.0,1.0,0,1,760950.0,1924.0,1.0,1.5,2.0,4035550074,40.6955401,-73.9009049
QN,1116 CYPRESS AVENUE,M1-4D,,S2,4.0,2.0,2,3,65100.0,1910.0,0.9,1.5,2.0,4035560057,40.6956625,-73.8995957
QN,1664 SUMMERFIELD STREET,M1-4D,,F5,6.0,2.0,0,1,271350.0,1931.0,1.19,1.5,2.0,4035550042,40.6959793,-73.9009259
QN,1668 SUMMERFIELD STREET,M1-4D,,E1,6.0,1.0,0,1,345150.0,1968.0,0.8,1.5,2.0,4035550045,40.6961438,-73.900767
QN,1514 DECATUR STREET,M1-4,,C3,2.0,2.0,4,4,326250.0,1931.0,1.2,0.0,2.0,4035420016,40.6930743,-73.902964
QN,1676 SUMMERFIELD STREET,M1-4D,,C0,2.0,2.0,3,3,83340.0,1910.0,0.64,1.5,2.0,4035550051,40.6962919,-73.9006514
QN,1076 CYPRESS AVENUE,M1-4D,,K4,4.0,2.0,1,3,183150.0,1910.0,0.87,1.5,2.0,4035550054,40.6965114,-73.9005753
QN,1078 CYPRESS AVENUE,M1-4D,,S2,4.0,2.0,2,3,84240.0,1931.0,1.35,1.5,2.0,4035550055,40.6964455,-73.9005321
QN,1080 CYPRESS AVENUE,M1-4D,,S3,4.0,3.0,3,4,535500.0,1931.0,1.65,1.5,2.0,4035550057,40.6963933,-73.9004709
QN,1082 CYPRESS AVENUE,M1-4D,,S1,4.0,2.0,1,2,76440.0,1931.0,1.1,1.5,2.0,4035550058,40.6963384,-73.9004025
QN,1086 CYPRESS AVENUE,M1-4D,,K4,4.0,2.0,0,1,970200.0,1921.0,1.63,1.5,2.0,4035550060,40.6962065,-73.9002512
QN,1669 DECATUR STREET,M1-4D,,B2,1.0,2.0,2,2,58500.0,1910.0,0.7,1.5,2.0,4035550066,40.6960749,-73.9003956
QN,1667 DECATUR STREET,M1-4D,,B2,1.0,2.0,2,2,66720.0,1910.0,0.91,1.5,2.0,4035550068,40.696009,-73.9004462
QN,1104 CYPRESS AVENUE,M1-4D,,S9,4.0,2.0,2,4,690300.0,1931.0,1.15,1.5,2.0,4035560049,40.6959372,-73.8998946
QN,1108 CYPRESS AVENUE,M1-4D,,S9,4.0,2.0,4,6,564750.0,1931.0,1.65,1.5,2.0,4035560051,40.6958685,-73.899837
QN,1665 DECATUR STREET,M1-4D,,B1,1.0,2.0,2,2,73440.0,1910.0,0.9,1.5,2.0,4035550069,40.6959542,-73.9005004
QN,1663 DECATUR STREET,M1-4D,,C3,2.0,2.0,4,4,286650.0,1910.0,0.92,1.5,2.0,4035550070,40.6959021,-73.900551
QN,COOPER AVENUE,M1-4,,V1,11.0,,0,0,36000.0,0.0,0.0,0.0,2.0,4035420080,40.6930544,-73.9021816
QN,11-12 WYCKOFF AVENUE,M1-4D,,B2,1.0,2.0,2,2,89460.0,1920.0,0.51,1.5,2.0,4035420044,40.6938966,-73.9017043
